Tweet,Suicide
making some lunch,Not Suicide post
@Alexia You want his money.,Not Suicide post
@dizzyhrvy that crap took me forever to put together. iâm going to go sleep for DAYS,Potential Suicide post 
@jnaylor #kiwitweets Hey Jer! Since when did you start twittering?,Not Suicide post
Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not Suicide post
@ValenValdez Oh  that's good to hear. But is it over already? Or you'll continue it after the Holy week?,Not Suicide post
@mcm180 u've got a list for fellow #hotties? You gonna have to share that one Amigo!,Not Suicide post
@jakepaul @jamescharles @LoganPaul Just because shane made a Series on you Doesnt mean people take you seriously  yâ¦ https://t.co/D5rA0nua0U,Potential Suicide post 
time for some warsaw beer garden chilling,Not Suicide post
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,Potential Suicide post 
Everything your lover does for you is for her survival  everything your mother does for you is for your survival.,Not Suicide post
There is a stray cat on campus that looks like Garfield. The students are always feeding him  so he is very fat. Like me.,Not Suicide post
is on the go...,Not Suicide post
I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny forâ¦ https://t.co/NpfZu06gwy,Potential Suicide post 
@rivensky Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,Not Suicide post
@Turbizzle Goooooood hwo're you?,Not Suicide post
@AkwesiQuan  RT @animeesay: I want to say ill never be active again. Not quite sure  i dont have any reason to be on here anymore anyways bye everyone tâ¦,Potential Suicide post 
Focus on opportunities more than you focus on money.,Not Suicide post
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,Potential Suicide post 
Iâm at the point of the semester where Iâm so tired of everything. I just want to roll over and die.,Potential Suicide post 
@sadegsi ger/rus/eng I want to die so much  I dont want to be here anymore,Potential Suicide post 
And I hate the fact if it's true Dojae will do surgery  Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ aâ¦ https://t.co/B4hM6MjQRe,Potential Suicide post 
RT @Soulwhisperer3: When you're tired of living your life  all you can do is close your eyes and go to sleep...,Potential Suicide post 
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post 
@earlydetection enjoy I just can't get into it this season  but happy to know that you're getting your groove on.,Not Suicide post
@JohnsHopkins Bloodstain on the carpet? Ready to gooo! http://short.to/3uqb,Not Suicide post
Really fuckin want this portion of my life to be over.,Potential Suicide post 
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up!,Not Suicide post
Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,Not Suicide post
@gailia I think you'll do whatever you want.,Not Suicide post
@domselinakyle that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better forâ¦ https://t.co/oAh2tUnbXt,Potential Suicide post 
@garry1bowie No  just one shortly before the soap awards judging starts....,Not Suicide post
@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays ,Not Suicide post
@jrkgirlnla Oh yes  I was reading that one,Not Suicide post
My life is so miserable and it's not getting better.,Potential Suicide post 
@LaPrincipessa you SAU! i stood up at 8. then off to offenbach  home. outside. sunshine. love you.,Not Suicide post
She is not tired.,Not Suicide post
RT @tamicakeyona: Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post 
But what Bezos  de Blasio  and Cuomo have down is walked into our little lego town  kicked all of our lego towers aâ¦ https://t.co/WQqDasF7n4,Potential Suicide post 
I want money,Not Suicide post
@HeavenlyHev how was it  so I know what to expect?,Not Suicide post
Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,Not Suicide post
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post 
Brushin' mah teef. Secularly.,Not Suicide post
i'll be in london today. Wave if you see me,Not Suicide post
@PeoplemapsJulie I am looking for the berocca then all will be well,Not Suicide post
@nellypt Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,Not Suicide post
i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the saâ¦ https://t.co/8hbfNffXii,Potential Suicide post 
I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body andâ¦ https://t.co/eXWykCGcrf,Potential Suicide post 
@meerajane I luv your blog too! Fashion is &lt;3,Not Suicide post
@Maddierawrk Sorry for your loss. This post gave me goosebumps because although I havenât thought of suicide your dâ¦ https://t.co/VNpWHS2zqu,Potential Suicide post 
@MarkusLarockus Ha ha I started something with the Rocquestar thing  didn't I??,Not Suicide post
photoboth is black and white. and wayyyyy old. we call him Herbert lol. I love him  he's like a living legend. gotta love Berlin &lt;3,Not Suicide post
@ErikAbele The one we were looking out for?,Not Suicide post
he want to kill her.,Not Suicide post
u - understand what the fuck im doing wrong with my life,Potential Suicide post 
@RachelStarrxxx AWWWWWW  i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES,Not Suicide post
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,Not Suicide post
@JoannaButler he should tell them that his sister fixed it,Not Suicide post
Something weird in that I couldn't stop thinking about him  couldn't sleep. Then out of some old papers a card I diâ¦ https://t.co/eITpOD1uAT,Potential Suicide post 
Congratulations  John! I'm a creepy actor  not a sweet actor,Not Suicide post
@fancyelastic He he! Thanks,Not Suicide post
in the photoshop,Not Suicide post
@MizFitOnline normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,Not Suicide post
@noi27 Easy way is to go to MBK and get it hacked. @chuanjeng got a CN rom on his TH phone...,Not Suicide post
@Farbelowaverag1  And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please,Potential Suicide post 
i'm tired ,Not Suicide post
My Cullen family jewellery set arrived this morning! So happy!,Not Suicide post
Getting ready to take kids to the farm,Not Suicide post
"@wolfiecomedy These boys might find it shocking that some internet stranger like myself would say ""fuck these guys""â¦ https://t.co/VNWeNO1cmv",Potential Suicide post 
@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not Suicide post
I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,Potential Suicide post 
is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,Not Suicide post
&quot;tagged as: punk  punk rock  pop punk  new york  more people should listen to this band &quot; http://www.last.fm/music/Get+Bent,Not Suicide post
@dianapmarez It's a great time in life! We can help you design an amazing wedding.,Not Suicide post
@vegale Wow! Wow! Good to hear,Not Suicide post
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself ,Potential Suicide post 
Asking everyone to send out happy 'head-first' vibes to @cosmicgirlie,Not Suicide post
@kanter And waiting for sunrise in spring with an amazing colors,Not Suicide post
@Lady_Twitster Good so far thanks  hope yours will treat you well too,Not Suicide post
@OliviaCosmetics ok then might not be for a while though?,Not Suicide post
Itâs only the 12th and I have completed 75% of my selling goal  IâM HAPPY ð,Not Suicide post
@EmisonNaomily but still i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma justâ¦ https://t.co/5pBYOKbtRc,Potential Suicide post 
@mikeyway http://twitpic.com/2tu6p - take care guys..!!,Not Suicide post
My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,Potential Suicide post 
My co-workers are my guinea pigs. Lucky for them  I'm testing recipes from my Ultimate Cookie cook book.,Not Suicide post
Damn  i hate myself @EvoPvPServer,Potential Suicide post 
@FrankDiElsi1 No I want him to get indicted &amp; watch the kids go to jail - I donât want him to die because the Trumpâ¦ https://t.co/BPMdXzujoo,Potential Suicide post 
ok legit question can I fucking kill myself I'm 100% done with life,Potential Suicide post 
@willcarling How's the ski jumping going? Have you beat the missus yet?,Not Suicide post
@lakezuriche I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Potential Suicide post 
Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,Not Suicide post
@EricBoehlert Nothing to live for? Why? Because you have been nasty?,Potential Suicide post 
had a lovely night with the best boyfriend and two very good friends,Not Suicide post
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally ,Potential Suicide post 
@KateEdwards you dont have to bring anything - it's yr place #katesparty,Not Suicide post
Rosie: âdoes he think Iâm gonna be single forever?â,Potential Suicide post 
@codyks Chick-Fil-A = bonus.,Not Suicide post
@Fred0828 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not Suicide post
@theosoft What do you want to know about MODx cms? Maybe I can help you,Not Suicide post
i'm home from school  yay! wasn't that bad actually  and i had a nice dinner with graceeeeee.,Not Suicide post
im hoping my stress level will go down when my aunt is gone... i cant relax  am exhausted  and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS,Potential Suicide post 
@ghostbusterz a friend i knew online from last night finally added me up on his messenger.,Not Suicide post
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,Not Suicide post
@WANICULLEN Thanks Wani,Not Suicide post
@vanessawhite Haha Get all your Stress out x,Not Suicide post
@_nanu_ just added a little more grist to the mill,Not Suicide post
@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead  move to a different precinct  ouâ¦ https://t.co/nC8PdOqUvU,Potential Suicide post 
@yogadork our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,Not Suicide post
there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,Potential Suicide post 
RT @camphalfblood: Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,Potential Suicide post 
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not Suicide post
So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff hasâ¦ https://t.co/SDrCTy43V3,Potential Suicide post 
Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post 
Cool http://www.onlinemarktplatz.de/14177/twitter-fieber-bei-ebay/ ;_),Not Suicide post
ok that dinner rocked,Not Suicide post
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post 
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,Potential Suicide post 
RT @sirpatricia: //shes doing her best https://t.co/tARP6gNDlu,Not Suicide post
@bobby_bobbles @snovvvhite live your best life,Not Suicide post
All I want is the truth.,Not Suicide post
@sandieb321 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not Suicide post
Iâm just gonna go ahead and kill myself. Already done for the fucking day.,Potential Suicide post 
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,Potential Suicide post 
@TaniaUncensored tania  i think you should get athene and the rest of the crew on twitter,Not Suicide post
@jackhii n i got yr pic posing in the server room ..,Not Suicide post
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not Suicide post
Working on a film. Have been busy. Have a nice day everyone,Not Suicide post
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post 
I want to play with it.,Not Suicide post
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not Suicide post
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post 
New iPhone is completely updated Sun shining in Derry - tis a pretty day,Not Suicide post
I want to be a doctor.,Not Suicide post
@TomFelton Cash in the Attic is OK  I prefer Homes Under the Hammer  haha I do love being off school...,Not Suicide post
